,Index Name,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
1098,Nifty 50,NIFTY 50,12 Dec 2018,10591,10752.2,10560.8,10737.60
1099,Nifty 50,NIFTY 50,11 Dec 2018,10350.05,10567.15,10333.85,10549.15
1100,Nifty 50,NIFTY 50,10 Dec 2018,10508.7,10558.85,10474.95,10488.45
1101,Nifty 50,NIFTY 50,07 Dec 2018,10644.8,10704.55,10599.35,10693.70
1102,Nifty 50,NIFTY 50,06 Dec 2018,10718.15,10722.65,10588.25,10601.15
1103,Nifty 50,NIFTY 50,05 Dec 2018,10820.45,10821.05,10747.95,10782.90
1104,Nifty 50,NIFTY 50,04 Dec 2018,10877.1,10890.95,10833.35,10869.50
1105,Nifty 50,NIFTY 50,03 Dec 2018,10930.7,10941.2,10845.35,10883.75
1106,Nifty 50,NIFTY 50,30 Nov 2018,10892.1,10922.45,10835.1,10876.75
1107,Nifty 50,NIFTY 50,29 Nov 2018,10808.7,10883.05,10782.35,10858.70
1108,Nifty 50,NIFTY 50,28 Nov 2018,10708.75,10757.8,10699.85,10728.85
1109,Nifty 50,NIFTY 50,27 Nov 2018,10621.45,10695.15,10596.35,10685.60
1110,Nifty 50,NIFTY 50,26 Nov 2018,10568.3,10637.8,10489.75,10628.60
1111,Nifty 50,NIFTY 50,22 Nov 2018,10612.65,10646.25,10512,10526.75
1112,Nifty 50,NIFTY 50,21 Nov 2018,10670.95,10671.3,10562.35,10600.05
1113,Nifty 50,NIFTY 50,20 Nov 2018,10740.1,10740.85,10640.85,10656.20
1114,Nifty 50,NIFTY 50,19 Nov 2018,10731.25,10774.7,10688.8,10763.40
1115,Nifty 50,NIFTY 50,16 Nov 2018,10644,10695.15,10631.15,10682.20
1116,Nifty 50,NIFTY 50,15 Nov 2018,10580.6,10646.5,10557.5,10616.70
1117,Nifty 50,NIFTY 50,14 Nov 2018,10634.9,10651.6,10532.7,10576.30
1118,Nifty 50,NIFTY 50,13 Nov 2018,10451.9,10596.25,10440.55,10582.50
1119,Nifty 50,NIFTY 50,12 Nov 2018,10607.8,10645.5,10464.05,10482.20
1120,Nifty 50,NIFTY 50,09 Nov 2018,10614.7,10619.55,10544.85,10585.20
1121,Nifty 50,NIFTY 50,07 Nov 2018,10614.45,10616.45,10582.3,10598.40
1122,Nifty 50,NIFTY 50,06 Nov 2018,10552,10600.25,10491.45,10530.00
1123,Nifty 50,NIFTY 50,05 Nov 2018,10558.75,10558.8,10477,10524.00
1124,Nifty 50,NIFTY 50,02 Nov 2018,10462.3,10606.95,10457.7,10553.00
1125,Nifty 50,NIFTY 50,01 Nov 2018,10441.7,10441.9,10341.9,10380.45
1126,Nifty 50,NIFTY 50,31 Oct 2018,10209.55,10396,10105.1,10386.60
1127,Nifty 50,NIFTY 50,30 Oct 2018,10239.4,10285.1,10175.35,10198.40
1128,Nifty 50,NIFTY 50,29 Oct 2018,10078.1,10275.3,10020.35,10250.85
1129,Nifty 50,NIFTY 50,26 Oct 2018,10122.35,10128.85,10004.55,10030.00
1130,Nifty 50,NIFTY 50,25 Oct 2018,10135.05,10166.6,10079.3,10124.90
1131,Nifty 50,NIFTY 50,24 Oct 2018,10278.15,10290.65,10126.7,10224.75
1132,Nifty 50,NIFTY 50,23 Oct 2018,10152.6,10222.1,10102.35,10146.80
1133,Nifty 50,NIFTY 50,22 Oct 2018,10405.85,10408.55,10224,10245.25
1134,Nifty 50,NIFTY 50,19 Oct 2018,10339.7,10380.1,10249.6,10303.55
1135,Nifty 50,NIFTY 50,17 Oct 2018,10688.7,10710.15,10436.45,10453.05
1136,Nifty 50,NIFTY 50,16 Oct 2018,10550.15,10604.9,10525.3,10584.75
1137,Nifty 50,NIFTY 50,15 Oct 2018,10524.2,10526.3,10410.15,10512.50
1138,Nifty 50,NIFTY 50,12 Oct 2018,10331.55,10492.45,10322.15,10472.50
1139,Nifty 50,NIFTY 50,11 Oct 2018,10169.8,10335.95,10138.6,10234.65
1140,Nifty 50,NIFTY 50,10 Oct 2018,10331.85,10482.35,10318.25,10460.10
1141,Nifty 50,NIFTY 50,09 Oct 2018,10390.3,10397.6,10279.35,10301.05
1142,Nifty 50,NIFTY 50,08 Oct 2018,10310.15,10398.35,10198.4,10348.05
1143,Nifty 50,NIFTY 50,05 Oct 2018,10514.1,10540.65,10261.9,10316.45
1144,Nifty 50,NIFTY 50,04 Oct 2018,10754.7,10754.7,10547.25,10599.25
1145,Nifty 50,NIFTY 50,03 Oct 2018,10982.7,10989.05,10843.75,10858.25
1146,Nifty 50,NIFTY 50,01 Oct 2018,10930.9,11035.65,10821.55,11008.30
1147,Nifty 50,NIFTY 50,28 Sep 2018,11008.1,11034.1,10850.3,10930.45
1148,Nifty 50,NIFTY 50,27 Sep 2018,11079.8,11089.45,10953.35,10977.55
1149,Nifty 50,NIFTY 50,26 Sep 2018,11145.55,11145.55,10993.05,11053.80
1150,Nifty 50,NIFTY 50,25 Sep 2018,10969.95,11080.6,10882.85,11067.45
1151,Nifty 50,NIFTY 50,24 Sep 2018,11164.4,11170.15,10943.6,10967.40
1152,Nifty 50,NIFTY 50,21 Sep 2018,11271.3,11346.8,10866.45,11143.10
1153,Nifty 50,NIFTY 50,19 Sep 2018,11326.65,11332.05,11210.9,11234.35
1154,Nifty 50,NIFTY 50,18 Sep 2018,11381.55,11411.45,11268.95,11278.90
1155,Nifty 50,NIFTY 50,17 Sep 2018,11464.95,11464.95,11366.9,11377.75
1156,Nifty 50,NIFTY 50,14 Sep 2018,11443.5,11523.25,11430.55,11515.20
1157,Nifty 50,NIFTY 50,12 Sep 2018,11340.1,11380.75,11250.2,11369.90
1158,Nifty 50,NIFTY 50,11 Sep 2018,11476.85,11479.4,11274,11287.50
1159,Nifty 50,NIFTY 50,10 Sep 2018,11570.25,11573,11427.3,11438.10
1160,Nifty 50,NIFTY 50,07 Sep 2018,11558.25,11603,11484.4,11589.10
1161,Nifty 50,NIFTY 50,06 Sep 2018,11514.15,11562.25,11436.05,11536.90
1162,Nifty 50,NIFTY 50,05 Sep 2018,11514.85,11542.65,11393.85,11476.95
1163,Nifty 50,NIFTY 50,04 Sep 2018,11598.75,11602.55,11496.85,11520.30
1164,Nifty 50,NIFTY 50,03 Sep 2018,11751.8,11751.8,11567.4,11582.35
1165,Nifty 50,NIFTY 50,31 Aug 2018,11675.85,11727.65,11640.1,11680.50
1166,Nifty 50,NIFTY 50,30 Aug 2018,11694.75,11698.8,11639.7,11676.80
1167,Nifty 50,NIFTY 50,29 Aug 2018,11744.95,11753.2,11678.85,11691.90
1168,Nifty 50,NIFTY 50,28 Aug 2018,11731.95,11760.2,11710.5,11738.50
1169,Nifty 50,NIFTY 50,27 Aug 2018,11605.85,11700.95,11595.6,11691.95
1170,Nifty 50,NIFTY 50,24 Aug 2018,11566.6,11604.6,11532,11557.10
1171,Nifty 50,NIFTY 50,23 Aug 2018,11620.7,11620.7,11546.7,11582.75
1172,Nifty 50,NIFTY 50,21 Aug 2018,11576.2,11581.75,11539.6,11570.90
1173,Nifty 50,NIFTY 50,20 Aug 2018,11502.1,11565.3,11499.65,11551.75
1174,Nifty 50,NIFTY 50,17 Aug 2018,11437.15,11486.45,11431.8,11470.75
1175,Nifty 50,NIFTY 50,16 Aug 2018,11397.15,11449.85,11366.25,11385.05
1176,Nifty 50,NIFTY 50,14 Aug 2018,11381.7,11452.45,11370.8,11435.10
1177,Nifty 50,NIFTY 50,13 Aug 2018,11369.6,11406.3,11340.3,11355.75
1178,Nifty 50,NIFTY 50,10 Aug 2018,11474.95,11478.75,11419.65,11429.50
1179,Nifty 50,NIFTY 50,09 Aug 2018,11493.25,11495.2,11454.1,11470.70
1180,Nifty 50,NIFTY 50,08 Aug 2018,11412.5,11459.95,11379.3,11450.00
1181,Nifty 50,NIFTY 50,07 Aug 2018,11423.15,11428.95,11359.7,11389.45
1182,Nifty 50,NIFTY 50,06 Aug 2018,11401.5,11427.65,11370.6,11387.10
1183,Nifty 50,NIFTY 50,03 Aug 2018,11297.8,11368,11294.55,11360.80
1184,Nifty 50,NIFTY 50,02 Aug 2018,11328.9,11328.9,11234.95,11244.70
1185,Nifty 50,NIFTY 50,01 Aug 2018,11359.8,11390.55,11313.55,11346.20
1186,Nifty 50,NIFTY 50,31 Jul 2018,11311.05,11366,11267.75,11356.50
1187,Nifty 50,NIFTY 50,30 Jul 2018,11296.65,11328.1,11261.45,11319.55
1188,Nifty 50,NIFTY 50,27 Jul 2018,11232.75,11283.4,11210.25,11278.35
1189,Nifty 50,NIFTY 50,26 Jul 2018,11132.95,11185.85,11125.7,11167.30
1190,Nifty 50,NIFTY 50,25 Jul 2018,11148.4,11157.15,11113.25,11132.00
1191,Nifty 50,NIFTY 50,24 Jul 2018,11109,11143.4,11092.5,11134.30
1192,Nifty 50,NIFTY 50,23 Jul 2018,11019.85,11093.4,11010.95,11084.75
1193,Nifty 50,NIFTY 50,20 Jul 2018,10963.5,11030.25,10946.2,11010.20
1194,Nifty 50,NIFTY 50,19 Jul 2018,10999.5,11006.5,10935.45,10957.10
1195,Nifty 50,NIFTY 50,18 Jul 2018,11060.2,11076.2,10956.3,10980.45
1196,Nifty 50,NIFTY 50,17 Jul 2018,10939.65,11018.5,10925.6,11008.05
1197,Nifty 50,NIFTY 50,16 Jul 2018,11018.95,11019.5,10926.25,10936.85
1198,Nifty 50,NIFTY 50,13 Jul 2018,11056.9,11071.35,10999.75,11018.90
1199,Nifty 50,NIFTY 50,12 Jul 2018,11006.95,11078.3,10999.65,11023.20
1200,Nifty 50,NIFTY 50,11 Jul 2018,10956.4,10976.65,10923,10948.30
1201,Nifty 50,NIFTY 50,10 Jul 2018,10902.75,10956.9,10876.65,10947.25
1202,Nifty 50,NIFTY 50,09 Jul 2018,10838.3,10860.35,10807.15,10852.90
1203,Nifty 50,NIFTY 50,06 Jul 2018,10744.15,10816.35,10735.05,10772.65
1204,Nifty 50,NIFTY 50,05 Jul 2018,10786.05,10786.05,10726.25,10749.75
1205,Nifty 50,NIFTY 50,04 Jul 2018,10715,10777.15,10677.75,10769.90
1206,Nifty 50,NIFTY 50,03 Jul 2018,10668.6,10713.3,10630.25,10699.90
1207,Nifty 50,NIFTY 50,02 Jul 2018,10732.35,10736.15,10604.65,10657.30
1208,Nifty 50,NIFTY 50,29 Jun 2018,10612.85,10723.05,10612.35,10714.30
1209,Nifty 50,NIFTY 50,28 Jun 2018,10660.8,10674.2,10557.7,10589.10
1210,Nifty 50,NIFTY 50,27 Jun 2018,10785.5,10785.5,10652.4,10671.40
1211,Nifty 50,NIFTY 50,26 Jun 2018,10742.7,10805.25,10732.55,10769.15
1212,Nifty 50,NIFTY 50,25 Jun 2018,10822.9,10831.05,10753.05,10762.45
1213,Nifty 50,NIFTY 50,22 Jun 2018,10742.7,10837,10710.45,10821.85
